TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
49	2	4	1	0.5	0	0	-0.15453118	0.001058441	-0.00685564	0.462460614	0.004567201	-0.01997182	6484.196738	7685.591829	0.013242332	1041214.113	1055306.641	1	2
50	2	4	1	0.21	-0.21	0	-0.062127637	-0.056417835	0.014101503	0.185800265	-0.169706676	0.042579171	5367.43446	6451.679991	0.015025887	1060381.32	1073557.499	1	1.25
51	2	4	1	0.7	0	0	-0.217582718	-0.001421805	-0.009134594	0.653719232	-0.004330154	-0.02648824	6884.623842	8951.687102	0.013903745	1078616.834	1094325.233	1	2.75
52	2	4	1	-0.21	0.21	0	0.059195723	0.057648843	0.002405103	-0.177619539	0.174079454	0.007718856	5233.775815	6978.568566	0.014225945	1099364.858	1113843.627	1	1.1
53	2	4	1	-0.35	0.35	0	0.107701158	0.104286907	-0.006339648	-0.321776332	0.313605214	-0.019202051	7550.454801	9928.765981	0.0147878	1118918.163	1135844.365	1	2
54	2	4	1	0.35	-0.35	0	-0.108276536	-0.104430583	0.032317552	0.324214593	-0.313065165	0.095304683	4485.101855	6218.160541	0.014983461	1140902.022	1157112.497	1	2.05
55	2	4	1	0	-0.9	0	-0.003128197	-0.286072972	0.093111925	0.008866682	-0.858477869	0.278969558	4800.443223	10067.92535	0.013911662	1162170.179	1180879.854	1	5.15
56	2	4	1	0.35	0.35	0	-0.103886978	0.106758944	-0.021199219	0.311207764	0.320017878	-0.063780764	16.88688628	7884.640982	0.013693853	1185922.299	1200998.324	1	2.05
57	2	4	1	-0.64	-0.64	0	0.201860474	-0.205329312	0.091861686	-0.605192991	-0.616635322	0.275813944	5101.133876	8151.245338	0.014228523	1206056.596	1222116.957	1	3.85
58	2	4	1	0.64	0.64	0	-0.204349891	0.201869706	-0.03848097	0.612984935	0.604896993	-0.114115377	17.71870408	9601.893306	0.014412556	1227191.557	1244034.03	1	3.95
59	2	4	1	0.9	0	0	-0.286238793	-0.003782078	-0.006660832	0.858716379	-0.011669926	-0.020577597	8650.712005	10634.71018	0.015903332	1249076.583	1266551.87	1	3.4
60	2	4	1	-0.3	0	0	0.086162742	-0.001887232	0.00887873	-0.258035057	-0.004755357	0.026727745	16.33039615	8950.467273	0.015350922	1271609.194	1287159.043	1	1.3
61	2	4	1	-0.7	0	0	0.224362195	0.003488488	0.029908122	-0.671953659	0.011922083	0.091372341	5917.880874	8573.624993	0.028646033	1292211.713	1307904.358	1	2.35
62	2	4	1	0.07	-0.07	0	-0.014723665	-0.011688601	0.004322649	0.043782563	-0.035324757	0.012830616	4683.39176	7857.411256	0.014697431	1312963.322	1327005.249	1	0.25
63	2	4	1	0	0.5	0	0.000299321	0.150171716	0.001337569	-0.002030887	0.450223825	0.00538602	166.7238595	15835.051	0.014797747	1332083.722	1354656.795	1	2.5
64	2	4	1	-0.07	-0.07	0	0.016212371	-0.010357598	0.00882298	-0.047536557	-0.031720179	0.0283458	10761.17347	11145.52399	0.013991828	1359716.096	1377214.133	1	0.35
65	2	4	1	0	0.9	0	-0.006944629	0.286723327	-0.042777099	0.020995734	0.860267088	-0.129292616	5933.760535	10718.13301	0.01438376	1382269.552	1400209.432	1	4.25
66	2	4	1	-0.7	0	0	0.220559168	-0.007286	0.041087346	-0.660641686	-0.021210614	0.121888725	6527.559207	11678.85852	0.030318009	1405253.087	1423627.418	1	2.6
